Date of collision,Grid,Number of Incidents,Implied vehicules,Serious injury,Light injury,Total victims,Trucks and car,Heavy tractor,Tool equipment,Bus,Bicycle,Moped,Motorcycle,Emergency vehicule,Snowmobile,VHR,Other types,Non-Precise vehicule,Pedestrian death,Pedestrian injury,Pedestrian victims,Motorcycle death,Motorcycle injuries,Motorcycle victims,Bicycle death,Bicycle injury,Bicycle victims,Severity: Inferior damages,Severity: Material damages,Severity: Serious injury,Severity: Light injury,Severity: Death
2012-01-12,GRID_45.541666485|-73.625002695,26,52,0,3,3,36,0,2,2,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,12,11,0,3,0
2012-01-12,GRID_45.541666485|-73.70833602500002,9,17,0,1,1,12,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0
2012-01-12,GRID_45.541666485|-73.791669355,1,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2012-01-12,GRID_45.624999815|-73.541669365,11,20,0,1,1,12,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,4,6,0,1,0
2012-01-12,GRID_45.624999815|-73.625002695,12,24,0,8,8,18,2,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,5,1,0,6,0
2012-01-13,GRID_45.458333155|-73.625002695,29,56,0,3,3,38,3,3,0,0,0,0,0,0,0,0,11,0,2,2,0,0,0,0,0,0,17,9,0,3,0
2012-01-13,GRID_45.458333155|-73.70833602500002,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-13,GRID_45.458333155|-73.791669355,8,14,0,1,1,8,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,1,0
2012-01-13,GRID_45.458333155|-73.875002685,4,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2012-01-13,GRID_45.541666485|-73.541669365,35,67,0,2,2,44,6,1,1,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,16,18,0,1,0
2012-01-13,GRID_45.541666485|-73.625002695,40,78,0,3,3,48,2,2,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,22,15,0,3,0
2012-01-13,GRID_45.541666485|-73.70833602500002,12,23,0,1,1,14,0,0,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,9,2,0,1,0
2012-01-13,GRID_45.541666485|-73.791669355,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-13,GRID_45.624999815|-73.541669365,14,27,0,3,3,18,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,6,6,0,2,0
2012-01-13,GRID_45.624999815|-73.625002695,10,19,0,2,2,13,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,1,0
2012-01-14,GRID_45.458333155|-73.625002695,24,46,0,0,0,27,1,1,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,14,10,0,0,0
2012-01-14,GRID_45.458333155|-73.70833602500002,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2012-01-14,GRID_45.458333155|-73.791669355,4,7,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2012-01-14,GRID_45.458333155|-73.875002685,3,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0
2012-01-14,GRID_45.541666485|-73.541669365,33,66,0,2,2,46,1,1,0,0,0,0,5,0,0,0,12,0,1,1,0,0,0,0,0,0,19,12,0,2,0
2012-01-14,GRID_45.541666485|-73.625002695,32,64,0,4,4,50,0,1,2,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,19,10,0,3,0
2012-01-14,GRID_45.541666485|-73.70833602500002,11,20,0,1,1,14,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,1,0,1,0
2012-01-14,GRID_45.541666485|-73.791669355,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2012-01-14,GRID_45.624999815|-73.541669365,11,22,0,0,0,14,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,4,0,0,0
2012-01-14,GRID_45.624999815|-73.625002695,12,24,0,2,2,16,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,6,5,0,1,0
2012-01-15,GRID_45.458333155|-73.625002695,13,26,0,3,3,17,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,7,4,0,2,0
2012-01-15,GRID_45.458333155|-73.70833602500002,4,9,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
2012-01-15,GRID_45.458333155|-73.791669355,4,8,0,2,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
2012-01-15,GRID_45.458333155|-73.875002685,3,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0
2012-01-15,GRID_45.541666485|-73.541669365,27,54,0,0,0,34,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,15,12,0,0,0
2012-01-15,GRID_45.541666485|-73.625002695,31,63,0,2,2,44,0,0,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,15,14,0,2,0
2012-01-15,GRID_45.541666485|-73.70833602500002,10,20,0,1,1,13,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,3,0,1,0
2012-01-15,GRID_45.541666485|-73.791669355,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012-01-15,GRID_45.624999815|-73.541669365,12,23,0,2,2,18,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,4,0,1,0
2012-01-15,GRID_45.624999815|-73.625002695,10,19,0,1,1,13,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,1,0
2012-01-16,GRID_45.458333155|-73.625002695,31,56,0,3,3,39,2,2,1,0,0,0,1,0,0,0,10,0,1,1,0,0,0,0,0,0,15,13,0,3,0
2012-01-16,GRID_45.458333155|-73.70833602500002,7,12,0,2,2,7,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,1,0
2012-01-16,GRID_45.458333155|-73.791669355,5,10,0,3,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0
2012-01-16,GRID_45.458333155|-73.875002685,5,10,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0
2012-01-16,GRID_45.541666485|-73.541669365,22,45,0,1,1,25,7,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,13,8,0,1,0
